survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_alone,is_child,age_bin,fare_per_person,fare_bin,sex_male,sex_female,embarked_C,embarked_Q,embarked_S
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,1,1,0,young_adult,13.0,mid_low,1,0,False,False,True
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True,1,1,1,teen,8.0292,mid_low,0,1,False,True,False
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,1,1,0,young_adult,35.5,high,1,0,False,False,True
0,3,female,8.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,5,0,1,child,4.215,mid_high,0,1,False,False,True
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False,7,0,0,adult,4.483928571428572,high,0,1,False,False,True
0,3,male,28.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,1,1,0,young_adult,7.225,low,1,0,True,False,False
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,6,0,0,young_adult,43.833333333333336,high,1,0,False,False,True
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,young_adult,7.8792,low,0,1,False,True,False
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.8958,low,1,0,False,False,True
0,1,male,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1,1,0,adult,27.7208,mid_high,1,0,True,False,False
1,1,female,28.0,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2,0,0,young_adult,73.2604,high,0,1,True,False,False
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,young_adult,7.75,low,0,1,False,True,False
0,2,male,66.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,1,0,senior,10.5,mid_low,1,0,False,False,True
0,1,male,28.0,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False,2,0,0,young_adult,41.0854,high,1,0,True,False,False
0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False,2,0,0,adult,26.0,high,1,0,False,False,True
1,3,male,28.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True,1,1,0,young_adult,7.2292,low,1,0,True,False,False
0,3,male,21.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,female,18.0,2,0,18.0,S,Third,woman,False,C,Southampton,no,False,3,0,0,teen,6.0,mid_high,0,1,False,False,True
1,3,female,14.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,2,0,1,teen,5.62085,mid_low,0,1,True,False,False
0,3,female,40.0,1,0,9.475,S,Third,woman,False,C,Southampton,no,False,2,0,0,adult,4.7375,mid_low,0,1,False,False,True
0,2,female,27.0,1,0,21.0,S,Second,woman,False,C,Southampton,no,False,2,0,0,young_adult,10.5,mid_high,0,1,False,False,True
0,3,male,28.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,1,1,0,young_adult,7.8958,low,1,0,True,False,False
1,2,female,3.0,1,2,41.5792,C,Second,child,False,C,Cherbourg,yes,False,4,0,1,child,10.3948,high,0,1,True,False,False
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,young_adult,7.8792,low,0,1,False,True,False
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,male,28.0,1,0,15.5,Q,Third,man,True,C,Queenstown,no,False,2,0,0,young_adult,7.75,mid_high,1,0,False,True,False
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,young_adult,7.75,low,0,1,False,True,False
0,3,male,28.0,2,0,21.6792,C,Third,man,True,C,Cherbourg,no,False,3,0,0,young_adult,7.226400000000001,mid_high,1,0,True,False,False
0,3,female,18.0,1,0,17.8,S,Third,woman,False,C,Southampton,no,False,2,0,0,teen,8.9,mid_high,0,1,False,False,True
0,3,male,7.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,6,0,1,child,6.614583333333333,high,1,0,False,False,True
0,3,male,21.0,0,0,7.8,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.8,low,1,0,False,False,True
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,2,0,0,adult,38.3646,high,0,1,True,False,False
1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,2,0,0,young_adult,13.0,mid_high,0,1,False,False,True
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,2,0,0,senior,30.9896,high,1,0,True,False,False
1,1,male,28.0,0,0,35.5,S,First,man,True,C,Southampton,yes,True,1,1,0,young_adult,35.5,high,1,0,False,False,True
1,2,female,21.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,1,1,0,young_adult,10.5,mid_low,0,1,False,False,True
0,3,male,28.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,1,0,young_adult,7.2292,low,1,0,True,False,False
1,2,female,5.0,1,2,27.75,S,Second,child,False,C,Southampton,yes,False,4,0,1,child,6.9375,mid_high,0,1,False,False,True
0,3,male,11.0,5,2,46.9,S,Third,child,False,C,Southampton,no,False,8,0,1,child,5.8625,high,1,0,False,False,True
0,3,male,22.0,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,1,1,0,young_adult,7.2292,low,1,0,True,False,False
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,Southampton,yes,True,1,1,0,adult,80.0,high,0,1,False,False,True
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,2,0,0,adult,41.7375,high,1,0,False,False,True
0,3,male,4.0,3,2,27.9,S,Third,child,False,C,Southampton,no,False,6,0,1,child,4.6499999999999995,mid_high,1,0,False,False,True
0,1,male,28.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1,1,0,young_adult,27.7208,mid_high,1,0,True,False,False
1,3,male,28.0,1,1,15.2458,C,Third,man,True,C,Cherbourg,yes,False,3,0,0,young_adult,5.081933333333333,mid_high,1,0,True,False,False
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,1,1,0,young_adult,10.5,mid_low,0,1,False,False,True
0,3,male,19.0,0,0,8.1583,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.1583,mid_low,1,0,False,False,True
1,3,female,17.0,4,2,7.925,S,Third,woman,False,C,Southampton,yes,False,7,0,0,teen,1.1321428571428571,mid_low,0,1,False,False,True
0,3,male,26.0,2,0,8.6625,S,Third,man,True,C,Southampton,no,False,3,0,0,young_adult,2.8874999999999997,mid_low,1,0,False,False,True
0,2,male,32.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,1,0,young_adult,10.5,mid_low,1,0,False,False,True
0,3,female,16.0,5,2,46.9,S,Third,woman,False,C,Southampton,no,False,8,0,0,teen,5.8625,high,0,1,False,False,True
0,2,male,21.0,0,0,73.5,S,Second,man,True,C,Southampton,no,True,1,1,0,young_adult,73.5,high,1,0,False,False,True
0,3,male,26.0,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False,2,0,0,young_adult,7.2271,mid_low,1,0,True,False,False
1,3,male,32.0,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True,1,1,0,young_adult,56.4958,high,1,0,False,False,True
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,1,1,0,young_adult,7.65,low,1,0,False,False,True
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.8958,low,1,0,False,False,True
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
1,2,male,0.83,0,2,29.0,S,Second,child,False,C,Southampton,yes,False,3,0,1,child,9.666666666666666,mid_high,1,0,False,False,True
1,3,female,30.0,0,0,12.475,S,Third,woman,False,C,Southampton,yes,True,1,1,0,young_adult,12.475,mid_low,0,1,False,False,True
0,3,male,22.0,0,0,9.0,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,9.0,mid_low,1,0,False,False,True
1,3,male,29.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,1,1,0,young_adult,9.5,mid_low,1,0,False,False,True
1,3,female,28.0,0,0,7.7875,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,young_adult,7.7875,low,0,1,False,True,False
0,1,male,28.0,0,0,47.1,S,First,man,True,C,Southampton,no,True,1,1,0,young_adult,47.1,high,1,0,False,False,True
1,2,female,17.0,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,1,1,0,teen,10.5,mid_low,0,1,False,False,True
1,3,female,33.0,3,0,15.85,S,Third,woman,False,C,Southampton,yes,False,4,0,0,young_adult,3.9625,mid_high,0,1,False,False,True
0,3,male,16.0,1,3,34.375,S,Third,man,True,C,Southampton,no,False,5,0,0,teen,6.875,high,1,0,False,False,True
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,6,0,0,young_adult,43.833333333333336,high,0,1,False,False,True
0,3,male,24.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,male,29.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,male,20.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.8542,low,1,0,False,False,True
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,2,0,0,adult,30.5875,high,1,0,False,False,True
0,3,male,26.0,1,2,20.575,S,Third,man,True,C,Southampton,no,False,4,0,0,young_adult,5.14375,mid_high,1,0,False,False,True
0,3,male,59.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,1,0,adult,7.25,low,1,0,False,False,True
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,1,1,0,senior,34.6542,high,1,0,True,False,False
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,2,0,0,young_adult,31.67915,high,1,0,True,False,False
1,2,female,34.0,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False,2,0,0,young_adult,11.5,mid_high,0,1,False,False,True
0,2,male,34.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2,0,0,young_adult,13.0,mid_high,1,0,False,False,True
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,C,Southampton,no,True,1,1,0,young_adult,7.8958,low,0,1,False,False,True
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.8958,low,1,0,False,False,True
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,0,0,young_adult,38.64375,high,1,0,False,False,True
0,3,male,33.0,0,0,8.6542,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.6542,mid_low,1,0,False,False,True
0,3,male,37.0,2,0,7.925,S,Third,man,True,C,Southampton,no,False,3,0,0,adult,2.6416666666666666,mid_low,1,0,False,False,True
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.8958,low,1,0,False,False,True
1,3,female,21.0,0,0,7.65,S,Third,woman,False,C,Southampton,yes,True,1,1,0,young_adult,7.65,low,0,1,False,False,True
1,3,male,28.0,0,0,7.775,S,Third,man,True,C,Southampton,yes,True,1,1,0,young_adult,7.775,low,1,0,False,False,True
0,3,male,38.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1,0,adult,7.8958,low,1,0,False,False,True
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,C,Queenstown,yes,False,2,0,0,young_adult,12.075,mid_high,0,1,False,True,False
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,1,1,0,adult,52.0,high,1,0,False,False,True
0,3,female,14.5,1,0,14.4542,C,Third,child,False,C,Cherbourg,no,False,2,0,1,teen,7.2271,mid_low,0,1,True,False,False
0,3,male,22.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,female,20.0,1,0,9.825,S,Third,woman,False,C,Southampton,no,False,2,0,0,young_adult,4.9125,mid_low,0,1,False,False,True
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,C,Cherbourg,no,True,1,1,0,teen,14.4583,mid_high,0,1,True,False,False
0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.925,mid_low,1,0,False,False,True
0,3,male,70.5,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1,0,senior,7.75,low,1,0,False,True,False
0,2,male,29.0,1,0,21.0,S,Second,man,True,C,Southampton,no,False,2,0,0,young_adult,10.5,mid_high,1,0,False,False,True
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,2,0,0,young_adult,123.7604,high,1,0,True,False,False
0,3,female,2.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False,7,0,1,child,4.4678571428571425,high,0,1,False,False,True
0,2,male,21.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False,3,0,0,young_adult,24.5,high,1,0,False,False,True
0,3,male,28.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,2,male,32.5,1,0,30.0708,C,Second,man,True,C,Cherbourg,no,False,2,0,0,young_adult,15.0354,mid_high,1,0,True,False,False
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,1,1,0,young_adult,13.0,mid_low,0,1,False,False,True
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,2,0,0,adult,38.64375,high,1,0,False,False,True
1,3,male,12.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,2,0,1,child,5.62085,mid_low,1,0,True,False,False
0,3,male,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1,0,young_adult,7.75,low,1,0,False,True,False
1,3,male,24.0,0,0,7.1417,S,Third,man,True,C,Southampton,yes,True,1,1,0,young_adult,7.1417,low,1,0,False,False,True
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,3,0,0,young_adult,7.452766666666666,mid_high,0,1,True,False,False
0,3,male,45.0,0,0,6.975,S,Third,man,True,C,Southampton,no,True,1,1,0,adult,6.975,low,1,0,False,False,True
0,3,male,33.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,1,1,0,young_adult,7.8958,low,1,0,True,False,False
0,3,male,20.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.05,low,1,0,False,False,True
0,3,female,47.0,1,0,14.5,S,Third,woman,False,C,Southampton,no,False,2,0,0,adult,7.25,mid_high,0,1,False,False,True
1,2,female,29.0,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,2,0,0,young_adult,13.0,mid_high,0,1,False,False,True
0,2,male,25.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,1,0,young_adult,13.0,mid_low,1,0,False,False,True
0,2,male,23.0,0,0,15.0458,C,Second,man,True,C,Cherbourg,no,True,1,1,0,young_adult,15.0458,mid_high,1,0,True,False,False
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,3,0,0,young_adult,8.7611,mid_high,0,1,False,False,True
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,2,0,0,adult,26.55,high,1,0,False,False,True
0,3,male,16.0,0,0,9.2167,S,Third,man,True,C,Southampton,no,True,1,1,0,teen,9.2167,mid_low,1,0,False,False,True
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,1,1,0,young_adult,79.2,high,1,0,True,False,False
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,no,False,3,0,0,young_adult,5.081933333333333,mid_high,0,1,True,False,False
1,3,female,22.0,0,0,7.75,S,Third,woman,False,C,Southampton,yes,True,1,1,0,young_adult,7.75,low,0,1,False,False,True
1,3,female,24.0,1,0,15.85,S,Third,woman,False,C,Southampton,yes,False,2,0,0,young_adult,7.925,mid_high,0,1,False,False,True
0,3,male,19.0,0,0,6.75,Q,Third,man,True,C,Queenstown,no,True,1,1,0,young_adult,6.75,low,1,0,False,True,False
0,2,male,18.0,0,0,11.5,S,Second,man,True,C,Southampton,no,True,1,1,0,teen,11.5,mid_low,1,0,False,False,True
0,2,male,19.0,1,1,36.75,S,Second,man,True,C,Southampton,no,False,3,0,0,young_adult,12.25,high,1,0,False,False,True
1,3,male,27.0,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True,1,1,0,young_adult,7.7958,low,1,0,False,False,True
0,3,female,9.0,2,2,34.375,S,Third,child,False,C,Southampton,no,False,5,0,1,child,6.875,high,0,1,False,False,True
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,3,0,0,adult,8.666666666666666,mid_high,1,0,False,False,True
0,2,male,42.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,1,0,adult,13.0,mid_low,1,0,False,False,True
0,2,male,51.0,0,0,12.525,S,Second,man,True,C,Southampton,no,True,1,1,0,adult,12.525,mid_low,1,0,False,False,True
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,2,0,0,young_adult,33.3,high,0,1,False,False,True
0,3,male,55.5,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,adult,8.05,mid_low,1,0,False,False,True
0,3,male,40.5,0,2,14.5,S,Third,man,True,C,Southampton,no,False,3,0,0,adult,4.833333333333333,mid_high,1,0,False,False,True
0,3,male,28.0,0,0,7.3125,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.3125,low,1,0,False,False,True
0,1,male,51.0,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False,2,0,0,adult,30.6896,high,1,0,True,False,False
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,teen,7.7333,low,0,1,False,True,False
0,3,male,30.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,male,28.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.6625,mid_low,1,0,False,False,True
0,3,male,28.0,8,2,69.55,S,Third,man,True,C,Southampton,no,False,11,0,0,young_adult,6.322727272727272,high,1,0,False,False,True
0,3,male,44.0,0,1,16.1,S,Third,man,True,C,Southampton,no,False,2,0,0,adult,8.05,mid_high,1,0,False,False,True
1,2,female,40.0,0,0,15.75,S,Second,woman,False,C,Southampton,yes,True,1,1,0,adult,15.75,mid_high,0,1,False,False,True
0,3,male,26.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.775,low,1,0,False,False,True
0,3,male,17.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,1,1,0,teen,8.6625,mid_low,1,0,False,False,True
0,3,male,1.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,6,0,1,child,6.614583333333333,high,1,0,False,False,True
1,3,male,9.0,0,2,20.525,S,Third,child,False,C,Southampton,yes,False,3,0,1,child,6.841666666666666,mid_high,1,0,False,False,True
1,1,female,28.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,2,0,0,young_adult,27.5,high,0,1,False,False,True
0,3,female,45.0,1,4,27.9,S,Third,woman,False,C,Southampton,no,False,6,0,0,adult,4.6499999999999995,mid_high,0,1,False,False,True
0,1,male,28.0,0,0,25.925,S,First,man,True,C,Southampton,no,True,1,1,0,young_adult,25.925,mid_high,1,0,False,False,True
0,3,male,28.0,0,0,56.4958,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,56.4958,high,1,0,False,False,True
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,1,1,0,senior,33.5,high,1,0,False,False,True
0,3,male,4.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,6,0,1,child,4.854166666666667,mid_high,1,0,False,True,False
1,3,female,1.0,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False,3,0,1,child,3.7111,mid_low,0,1,False,False,True
0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,7.925,mid_low,1,0,False,False,True
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,1,1,0,adult,30.6958,mid_high,1,0,True,False,False
0,3,male,18.0,1,1,7.8542,S,Third,man,True,C,Southampton,no,False,3,0,0,teen,2.6180666666666665,low,1,0,False,False,True
0,3,male,28.0,3,1,25.4667,S,Third,man,True,C,Southampton,no,False,5,0,0,young_adult,5.0933399999999995,mid_high,1,0,False,False,True
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,1,1,0,adult,28.7125,mid_high,0,1,True,False,False
0,2,male,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,1,0,young_adult,13.0,mid_low,1,0,False,False,True
0,3,male,36.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True,1,1,0,adult,0.0,low,1,0,False,False,True
0,3,female,28.0,8,2,69.55,S,Third,woman,False,C,Southampton,no,False,11,0,0,young_adult,6.322727272727272,high,0,1,False,False,True
0,2,male,28.0,0,0,15.05,C,Second,man,True,C,Cherbourg,no,True,1,1,0,young_adult,15.05,mid_high,1,0,True,False,False
0,3,male,9.0,4,2,31.3875,S,Third,child,False,C,Southampton,no,False,7,0,1,child,4.483928571428572,high,1,0,False,False,True
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,4,0,1,child,9.75,high,1,0,False,False,True
1,3,female,4.0,0,2,22.025,S,Third,child,False,C,Southampton,yes,False,3,0,1,child,7.341666666666666,mid_high,0,1,False,False,True
0,1,male,28.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,1,1,0,young_adult,50.0,high,1,0,False,False,True
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,2,0,0,young_adult,7.75,mid_high,0,1,False,True,False
1,1,male,45.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,1,1,0,adult,26.55,mid_high,1,0,False,False,True
0,3,male,40.0,1,1,15.5,Q,Third,man,True,C,Queenstown,no,False,3,0,0,adult,5.166666666666667,mid_high,1,0,False,True,False
0,3,male,36.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,1,0,adult,7.8958,low,1,0,False,False,True
1,2,female,32.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True,1,1,0,young_adult,13.0,mid_low,0,1,False,False,True
0,2,male,19.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,1,0,young_adult,13.0,mid_low,1,0,False,False,True
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,C,Southampton,yes,False,2,0,0,young_adult,3.9271,low,0,1,False,False,True
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3,0,1,child,8.666666666666666,mid_high,1,0,False,False,True
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,1,1,0,adult,27.7208,mid_high,0,1,True,False,False
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,1,1,0,adult,146.5208,high,0,1,True,False,False
0,3,male,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,1,0,young_adult,7.75,low,1,0,False,True,False
0,3,male,42.0,0,1,8.4042,S,Third,man,True,C,Southampton,no,False,2,0,0,adult,4.2021,mid_low,1,0,False,False,True
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1,0,young_adult,7.75,low,0,1,False,True,False
0,2,female,24.0,0,0,13.0,S,Second,woman,False,C,Southampton,no,True,1,1,0,young_adult,13.0,mid_low,0,1,False,False,True
0,3,male,28.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,9.5,mid_low,1,0,False,False,True
0,3,male,28.0,8,2,69.55,S,Third,man,True,C,Southampton,no,False,11,0,0,young_adult,6.322727272727272,high,1,0,False,False,True
